Country,Lat,Long,Date,Value
Andorra,42.5063,1.5218,28-02-2020,0
Andorra,42.5063,1.5218,27-02-2020,0
Andorra,42.5063,1.5218,26-02-2020,0
Andorra,42.5063,1.5218,25-02-2020,0
Andorra,42.5063,1.5218,24-02-2020,0
Andorra,42.5063,1.5218,23-02-2020,0
Andorra,42.5063,1.5218,22-02-2020,0
Andorra,42.5063,1.5218,21-02-2020,0
Andorra,42.5063,1.5218,20-02-2020,0
Andorra,42.5063,1.5218,19-02-2020,0
Andorra,42.5063,1.5218,18-02-2020,0
Andorra,42.5063,1.5218,17-02-2020,0
Andorra,42.5063,1.5218,16-02-2020,0
Andorra,42.5063,1.5218,15-02-2020,0
Andorra,42.5063,1.5218,14-02-2020,0
Andorra,42.5063,1.5218,13-02-2020,0
Andorra,42.5063,1.5218,12-02-2020,0
Andorra,42.5063,1.5218,11-02-2020,0
Andorra,42.5063,1.5218,10-02-2020,0
Andorra,42.5063,1.5218,09-02-2020,0
Andorra,42.5063,1.5218,08-02-2020,0
Andorra,42.5063,1.5218,07-02-2020,0
Andorra,42.5063,1.5218,06-02-2020,0
Andorra,42.5063,1.5218,05-02-2020,0
Andorra,42.5063,1.5218,04-02-2020,0
Andorra,42.5063,1.5218,03-02-2020,0
Andorra,42.5063,1.5218,02-02-2020,0
Andorra,42.5063,1.5218,01-02-2020,0
Andorra,42.5063,1.5218,31-01-2020,0
Andorra,42.5063,1.5218,30-01-2020,0
Andorra,42.5063,1.5218,29-01-2020,0
Andorra,42.5063,1.5218,28-01-2020,0
Andorra,42.5063,1.5218,27-01-2020,0
Andorra,42.5063,1.5218,26-01-2020,0
Andorra,42.5063,1.5218,25-01-2020,0
Andorra,42.5063,1.5218,24-01-2020,0
Andorra,42.5063,1.5218,23-01-2020,0
Andorra,42.5063,1.5218,22-01-2020,0
Angola,-11.2027,17.8739,04-05-2020,35
Angola,-11.2027,17.8739,03-05-2020,35
Angola,-11.2027,17.8739,02-05-2020,35
Angola,-11.2027,17.8739,01-05-2020,30
Angola,-11.2027,17.8739,30-04-2020,27
Angola,-11.2027,17.8739,29-04-2020,27
Angola,-11.2027,17.8739,28-04-2020,27
